排名,审计ID,推荐层级,老药新用类型,药物,药物ChEMBL_ID,原适应症领域,原领域英文,候选靶点,靶点名称,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,agent决策,风险等级,是否同原适应症领域,是否同已知靶点家族,是否已知靶点/对照,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,候选病种说明,机制审计,可行性审计,首选实验,反筛建议,审计备注
438,strict895_0314,二级复核,同领域新靶点/新病种探索,Apalutamide,CHEMBL3183409,肿瘤,Oncology,TOP2A,DNA topoisomerase 2-alpha,小细胞肺癌,small cell lung carcinoma,实体瘤,44.803297029365815,0.45195884,15,0.5797874590829253,酶/表观遗传生化,review_low,中高,是,否,否,PubMed pair审计未见明确报道,0,0,,,宫颈癌、小细胞肺癌及 TOP2A 高表达增殖肿瘤模型,机制审计：可审但降为低优先级。TOP2A 与增殖肿瘤高度相关，但容易转化为普遍 DNA 损伤/细胞毒性，不宜只看增殖 readout。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,TOP2A decatenation/relaxation assay 和 cleavage-complex assay；细胞层面测 gammaH2AX、TOP2A-DNA 复合物与细胞周期。,DNA 嵌入、拓扑异构酶 I/IIbeta、微管/泛细胞毒性、DNA 损伤假阳性反筛。 额外要求：同原适应症方向模型反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.452/rank15；literature_status=unreported_in_pubmed_pair_audit；同原适应症方向风险；疾病方向接近原适应症，老药新用 novelty 较弱。
439,strict895_0464,二级复核,跨领域但同靶点家族扩展,Obeticholic Acid,CHEMBL266340,其他,Other,THRB,Thyroid hormone receptor beta,心律失常,cardiac arrhythmia,心血管,44.71192309040562,0.3743186,40,0.3812024484624719,核受体/转录因子 reporter,keep_medium,中,否,是,否,上市后文献有新靶点线索,3,3,41464774;41378068;32583961,41464774;41378068;32583961,TRβ相关脂代谢异常、动脉粥样硬化和心肌代谢重塑模型,机制中等：THRB与血脂和心血管代谢相关，Obeticholic Acid为胆汁酸/代谢药，方向可解释但核受体串扰风险较高。,中高：TRβ结合和报告基因可行；需核受体选择性panel。,TRβ配体结合TR-FRET/DSF和TRE-luciferase报告基因，测选择性转录激活或拮抗。,THRA、FXR、PXR、RAR/RXR等核受体panel，线粒体毒性和广泛转录扰动反筛。,可保留，重点看是否有TRβ选择性而非FXR/PXR间接转录效应。
440,strict895_0393,二级复核,跨领域但同靶点家族扩展,Ulipristal Acetate,CHEMBL2103846,内分泌/代谢,Endocrinology/Metabolic,NR3C2,Mineralocorticoid receptor,心律失常,cardiac arrhythmia,心血管,44.638180712904884,0.43846512,2,0.2448803753883651,核受体/转录因子 reporter,keep_medium,medium,否,是,否,上市后文献有新靶点线索,1,1,37766684,37766684,盐皮质激素相关高血压、心衰液体潴留、心肌纤维化,机制中等可信：NR3C2与盐皮质激素相关高血压、心衰液体潴留、心肌纤维化匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,中高：reporter、配体结合和CETSA可操作，但核受体交叉活性与广谱转录效应是主要噪音。,NR3C2配体结合/共调节因子招募、CETSA和reporter assay；下游靶基因qPCR作为正交功能读数,GR/PR/AR/ER/MR等核受体选择性，广谱转录调控、荧光素酶干扰和细胞毒性反筛,存在同靶点家族/同药理类别泄漏风险。
441,strict895_0304,二级复核,跨大领域老药新用,Naloxegol Oxalate,CHEMBL2219418,神经/精神,Neurology/Psychiatry,SCN5A,Sodium channel protein type 5 subunit alpha,心律失常,cardiac arrhythmia,心血管,44.40941748575999,0.45107484,69,0.7863374052930366,离子通道功能,review_low,中高,否,否,否,PubMed pair审计未见明确报道,0,0,,,室性心律失常、传导阻滞、扩张型心肌病；更适合作心脏安全性/机制模型,机制审计：可审但降为低优先级。SCN5A 更常作为心脏安全性/传导风险靶点；作为治疗性心血管新用途的方向性不足。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：膜片钳可直接验证，但成本较高且需要安全性通道 panel 支撑治疗窗口。,SCN5A 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.451/rank69；literature_status=unreported_in_pubmed_pair_audit；离子通道实验成本较高，需安全性通道反筛。
442,strict895_0276,二级复核,跨大领域老药新用,Maraviroc,CHEMBL256907,感染性疾病,Infectious Disease,SCN5A,Sodium channel protein type 5 subunit alpha,心律失常,cardiac arrhythmia,心血管,44.24004035242666,0.44744533,66,0.7863374052930366,离子通道功能,review_low,中高,否,否,否,PubMed pair审计未见明确报道,0,0,,,室性心律失常、传导阻滞、扩张型心肌病；更适合作心脏安全性/机制模型,机制审计：可审但降为低优先级。SCN5A 更常作为心脏安全性/传导风险靶点；作为治疗性心血管新用途的方向性不足。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：膜片钳可直接验证，但成本较高且需要安全性通道 panel 支撑治疗窗口。,SCN5A 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.447/rank66；literature_status=unreported_in_pubmed_pair_audit；离子通道实验成本较高，需安全性通道反筛。
443,strict895_0502,二级复核,跨大领域老药新用,Regadenoson,CHEMBL3989695,心血管,Cardiovascular,FAAH,Fatty-acid amide hydrolase 1,,,免疫/炎症,44.2380326,0.22652927,47,0.0,酶/表观遗传生化,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,FAAH-内源性大麻素相关神经病理性疼痛和炎症性疼痛模型,机制中等：FAAH是明确疼痛靶点，Regadenoson有腺苷镇痛/血流效应可混杂但病种具体。,中高：FAAH酶活LC-MS可行；需MAGL/CES和腺苷受体通路反筛。,FAAH重组酶或细胞裂解液anandamide水解实验，LC-MS定量底物/产物。,MAGL、ABHD6/12、CES、COX，腺苷受体通路、反应性代谢物和细胞毒性反筛。,可保留为疼痛酶靶点候选，先无细胞酶活后神经炎症模型。
444,strict895_0030,二级复核,跨大领域老药新用,Ulipristal Acetate,CHEMBL2103846,内分泌/代谢,Endocrinology/Metabolic,BRAF,Serine/threonine-protein kinase B-raf,黑色素瘤,melanoma,实体瘤,44.23297133333333,0.3121351,31,0.819548256089721,激酶生化/细胞,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,心肌缺氧/心肌肥厚模型；BRAF 作为治疗靶点需具体化，优先安全性探索。,Ulipristal Acetate -> BRAF（Serine/threonine-protein kinase B-raf）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,低优先复核：直接结合、疾病具体性或方向解释不足，只有 TE 和反筛同时干净才推进。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。 疾病候选仍需具体化。
445,strict895_0326,二级复核,同领域新靶点/新病种探索,Apalutamide,CHEMBL3183409,肿瘤,Oncology,AKT2,RAC-beta serine/threonine-protein kinase,乳腺癌,breast cancer,实体瘤,44.23023893429436,0.42144808,43,0.5731553422649348,激酶生化/细胞,review_low,中高,是,否,否,PubMed pair审计未见明确报道,0,0,,,CREEDS 相关签名：breast cancer；colon cancer；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,机制审计：可审但降为低优先级。AKT2 与候选疾病存在可检验的通路假说。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,AKT2 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 额外要求：同原适应症方向模型反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.421/rank43；literature_status=unreported_in_pubmed_pair_audit；同原适应症方向风险；疾病方向接近原适应症，老药新用 novelty 较弱。
446,strict895_0110,二级复核,跨大领域老药新用,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,FGFR1,Fibroblast growth factor receptor 1,精神分裂症,schizophrenia,神经/精神,44.116658193797164,0.44973454,31,0.2872168737983924,酶/表观遗传生化,review_low,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,FGFR1 相关神经损伤修复/ALS 细胞模型；神经纤维瘤仅作备选,机制较弱/待审：FGFR1 相关 biology 可测，但FGFR1 相关神经损伤修复/ALS 细胞模型的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,FGFR1 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,FGFR1 神经修复可解释一部分方向，但疾病候选较散且 Lubiprostone 预测排名后；低优先级。
447,strict895_0492,二级复核,跨大领域老药新用,Methocarbamol,CHEMBL1201117,胃肠/消化,Gastroenterology,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,,,免疫/炎症,44.04053666666667,0.3080115,53,0.0,离子通道功能,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,Cav2.1/CACNA1A相关偏头痛、神经病理性疼痛和外周感觉神经兴奋性模型,机制中等：P/Q型钙通道与痛觉/偏头痛相关，Methocarbamol为肌松药可与神经兴奋性方向衔接。,中高：Cav2.1电生理可测；需排除镇静/肌松和其他离子通道。,CACNA1A 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,可保留为疼痛通道候选，重点评估选择性和安全窗。
448,strict895_0634,二级复核,同领域同靶点家族扩展,Erdafitinib,CHEMBL3545376,肿瘤,Oncology,MET,Hepatocyte growth factor receptor,乳腺癌,breast carcinoma,实体瘤,43.46922873071737,0.31141984,2,0.3230949421059571,激酶生化/细胞,keep_medium,medium,是,是,否,上市后文献有新靶点线索,1,1,37513232,37513232,MET 相关乳腺癌；甲状腺乳头状癌；其他 MET 依赖肿瘤需二次限定,"child Open Targets 最佳疾病为 breast carcinoma，score=0.323（genetic=0.195, clinical=0.061, literature=0.963），MET-疾病证据为中等。Erdafitinib→MET 主要由 ConPLEx=0.311/rank=2 支撑；MET 文献信号强但 child clinical 较弱，建议中优先级验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.311, rank=2; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：MET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 MET 相关乳腺癌 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 MET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,MET 文献信号强但 child clinical 较弱，建议中优先级验证。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=gene symbol/缩写可能产生文献或检索歧义；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
449,strict895_0170,二级复核,跨大领域老药新用,Acyclovir,CHEMBL1200380,感染性疾病,Infectious Disease,CHEK2,Serine/threonine-protein kinase Chk2,乳腺癌,breast carcinoma,实体瘤,43.416156427377416,0.20991318,9,0.7090462826982556,激酶生化/细胞,review_low,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,CHEK2/DNA 损伤检查点相关 HCC 或黑色素瘤模型；证据弱,机制较弱/待审：CHEK2 相关 biology 可测，但CHEK2/DNA 损伤检查点相关 HCC 或黑色素瘤模型的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,CHEK2 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,CHEK2 assay 可行，但 Acyclovir ConPLEx 低且核苷类药物可能诱发非特异 DNA damage readout。
450,strict895_0006,二级复核,跨大领域老药新用,Doravirine And Islatravir,CHEMBL2364608,感染性疾病,Infectious Disease,KRAS,GTPase KRas,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,43.343246666666666,0.421641,23,0.803548887170282,酶/表观遗传生化,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,KRAS 突变结直肠癌、黑色素瘤或睾丸肿瘤；组合药需拆分单药贡献并限定 KRAS 等位型。,Doravirine And Islatravir -> KRAS（GTPase KRas）：KRAS-RAS/MAPK 可连接肿瘤增殖、角质形成细胞增殖或免疫细胞活化，但 KRAS 直接小分子结合高度依赖突变型和核苷酸状态；输入未给具体抑制/激活方向，机制置信度低。,中等偏低：可做 KRAS 生化结合和细胞 RAS-GTP/pERK readout，但需突变型、核苷酸状态和等位型选择，难度高于常规激酶。,重组 KRAS（指定 WT/突变型）SPR/DSF、nucleotide exchange/GTP-loading；细胞 RAF-RBD pull-down 与 pERK 剂量反应。,HRAS/NRAS 选择性、SOS1/RAF 旁路、MEK/ERK 直接抑制、聚集体/PAINS、细胞毒性；按药物已知主靶点加反筛。,低优先复核：直接结合、疾病具体性或方向解释不足，只有 TE 和反筛同时干净才推进。 组合药加上 KRAS 高难靶点，优先级低于任何单药激酶/酶条目。
451,strict895_0347,二级复核,同领域新靶点/新病种探索,Bicalutamide,CHEMBL409,肿瘤,Oncology,CDK4,Cyclin-dependent kinase 4,乳腺癌,breast cancer,实体瘤,43.19123738405045,0.54905325,18,0.6307216615133534,激酶生化/细胞,review_low,中高,是,否,否,上市后文献有新靶点线索,5,5,41346936;41173902;37555303,41346936;41173902;37555303,HR+ 乳腺癌、脂肪肉瘤、细胞周期依赖实体瘤,机制审计：可审但降为低优先级。CDK4 是已成熟细胞周期靶点，疾病清楚，但与已知 CDK4 药理/同肿瘤方向高度重叠。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,CDK4 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 额外要求：同原适应症方向模型、已报道/已知文献线索反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.549/rank18；literature_status=reported_post_approval_old_drug_new_target；同原适应症方向风险；疾病方向接近原适应症，老药新用 novelty 较弱。
452,strict895_0114,二级复核,跨大领域老药新用,Acyclovir,CHEMBL1200380,感染性疾病,Infectious Disease,FGFR2,Fibroblast growth factor receptor 2,乳腺癌,breast carcinoma,实体瘤,42.780654885248076,0.21382025,3,0.7171426615665811,酶/表观遗传生化,review_low,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,FGFR2 改变的乳腺癌或胃癌/胆管癌模型；乳腺癌优先,机制较弱/待审：FGFR2 相关 biology 可测，但FGFR2 改变的乳腺癌或胃癌/胆管癌模型的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,FGFR2 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,FGFR2 肿瘤轴合理且本地共现干净，但 Acyclovir 分数低；只建议先做 biochemical binding。
453,strict895_0297,二级复核,跨领域但同靶点家族扩展,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3,癫痫,epilepsy,神经/精神,42.76690855671087,0.45257705,29,0.7102213136315941,离子通道功能,review_low,中高,否,是,否,PubMed pair审计未见明确报道,0,0,,,癫痫/广泛性发作、阿尔茨海默病相关兴奋性异常模型,机制审计：可审但降为低优先级。GABRB3 与 GABA-A 抑制性传递和癫痫相关，机制合理但需要功能通道实验和 CNS 混杂反筛。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：膜片钳可直接验证，但成本较高且需要安全性通道 panel 支撑治疗窗口。,GABRB3 自动膜片钳/电流-电压曲线为主；辅以电压敏感染料或钙流 readout，并在表达细胞和疾病相关细胞中做剂量反应。,hERG、SCN5A/Nav 家族、K/Ca 通道 panel、膜扰动、细胞毒性和渗透压/溶剂效应反筛。 额外要求：同靶点家族选择性反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.453/rank29；literature_status=unreported_in_pubmed_pair_audit；同靶点家族风险；离子通道实验成本较高，需安全性通道反筛；同靶点家族可能存在机制泄漏/选择性不足。
454,strict895_0021,二级复核,跨大领域老药新用,Ozanimod Hydrochloride,CHEMBL3707247,神经/精神,Neurology/Psychiatry,AR,Androgen receptor,前列腺癌,prostate carcinoma,实体瘤,42.62148967592316,0.43722984,8,0.7355895026336221,核受体/转录因子 reporter,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,痤疮/雄激素相关皮肤炎症、银屑病角质形成细胞模型；需证明 AR 方向。,Ozanimod Hydrochloride -> AR（Androgen receptor）：核受体转录调控能形成疾病故事，但必须明确激动/拮抗或降解方向；仅有 broad 肿瘤/皮肤方向不足以外推疗效。,中高：ligand-binding、cofactor recruitment、reporter、CETSA/qPCR 可做；主要限制是 reporter 假阳性和方向解释。,受体 ligand-binding TR-FRET/AlphaScreen、cofactor recruitment、luciferase reporter、CETSA/NanoBRET；qPCR 检测经典下游靶基因。,同家族核受体 panel、无受体/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制、细胞毒性。,低优先复核：直接结合、疾病具体性或方向解释不足，只有 TE 和反筛同时干净才推进。 本地共现层面较干净，仍需人工排重。
455,strict895_0158,二级复核,跨大领域老药新用,Obeticholic Acid,CHEMBL266340,其他,Other,KCND3,A-type voltage-gated potassium channel KCND3,心律失常,cardiac arrhythmia,心血管,42.46016913965768,0.37217388,41,0.5522394699107118,离子通道功能,review_low,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,KCND3/Kv4.3 相关心律失常、心衰或心肌复极模型,机制较弱/待审：KCND3 相关 biology 可测，但KCND3/Kv4.3 相关心律失常、心衰或心肌复极模型的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,KCND3 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,KCND3 疾病合理但原 assay lane 被误标为 transporter，应改为 patch clamp；Obeticholic FXR 心血管效应会混淆。
456,strict895_0301,二级复核,同领域新靶点/新病种探索,Enzalutamide,CHEMBL1082407,肿瘤,Oncology,PRKCB,Protein kinase C beta type,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,42.37863243787859,0.4841654,25,0.3607813527946042,激酶生化/细胞,review_low,中高,是,否,否,PubMed pair审计未见明确报道,0,0,,,CLL、CML、DLBCL 等 B 细胞/PKCbeta 信号模型,机制审计：可审但降为低优先级。PRKCB 与 B 细胞信号/血液肿瘤相关，机制可测；抗肿瘤原药导致新用途边际下降。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,PRKCB 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 额外要求：同原适应症方向模型反筛。,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.484/rank25；literature_status=unreported_in_local_pubmed_audit；同原适应症方向风险；疾病方向接近原适应症，老药新用 novelty 较弱。
457,strict895_0706,二级复核,同领域同靶点家族扩展,Selpercatinib,CHEMBL4559134,肿瘤,Oncology,FGFR2,Fibroblast growth factor receptor 2,乳腺癌,breast carcinoma,实体瘤,42.30514868524808,0.48220226,89,0.7171426615665811,酶/表观遗传生化,review_low,high,是,是,否,PubMed pair审计未见明确报道,0,0,,,FGFR2 相关乳腺癌；需限定 FGFR2 扩增/突变亚型,"child Open Targets 最佳疾病为 breast carcinoma，score=0.717（genetic=0.895, clinical=0.152, literature=0.960），FGFR2-疾病证据为较强。Selpercatinib→FGFR2 主要由 ConPLEx=0.482/rank=89 支撑；FGFR2 disease evidence 强，但 Selpercatinib rank=89，药物-靶点证据不足。","原始 target-engagement 可行性=高; assay lane=biochemical/target-engagement; ConPLEx=0.482, rank=89; 自动优先级=P1_priority_manual_review. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：FGFR2 纯化蛋白活性/结合实验（DSF、SPR、CETSA/TPP）；在 FGFR2 相关乳腺癌 模型中做 target engagement 与下游功能 readout 的剂量响应。,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛；加入 FGFR2 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除 PAINS、金属螯合、氧化还原和荧光干扰。,FGFR2 disease evidence 强，但 Selpercatinib rank=89，药物-靶点证据不足。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
458,strict895_0017,二级复核,跨大领域老药新用,Hydrocortisone Butyrate,CHEMBL3039247,内分泌/代谢,Endocrinology/Metabolic,KRAS,GTPase KRas,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,42.269652,0.3986354,18,0.803548887170282,酶/表观遗传生化,review_low,high,否,否,否,PubMed pair审计未见明确报道,0,0,,,黑色素瘤或银屑病/特应性皮炎模型；需具体化 KRAS 驱动而非 steroid 抗炎。,Hydrocortisone Butyrate -> KRAS（GTPase KRas）：KRAS-RAS/MAPK 可连接肿瘤增殖、角质形成细胞增殖或免疫细胞活化，但 KRAS 直接小分子结合高度依赖突变型和核苷酸状态；输入未给具体抑制/激活方向，机制置信度低。,中等偏低：可做 KRAS 生化结合和细胞 RAS-GTP/pERK readout，但需突变型、核苷酸状态和等位型选择，难度高于常规激酶。,重组 KRAS（指定 WT/突变型）SPR/DSF、nucleotide exchange/GTP-loading；细胞 RAF-RBD pull-down 与 pERK 剂量反应。,HRAS/NRAS 选择性、SOS1/RAF 旁路、MEK/ERK 直接抑制、聚集体/PAINS、细胞毒性；按药物已知主靶点加反筛。,低优先复核：直接结合、疾病具体性或方向解释不足，只有 TE 和反筛同时干净才推进。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。 疾病候选仍需具体化。
459,strict895_0593,二级复核,同领域新靶点/新病种探索,Enzalutamide,CHEMBL1082407,肿瘤,Oncology,CHEK2,Serine/threonine-protein kinase Chk2,乳腺癌,breast carcinoma,实体瘤,42.21379922737742,0.44129124,73,0.7090462826982556,激酶生化/细胞,review_low,中高,是,否,否,上市后文献有新靶点线索,5,5,35157830;34783071;34388386,35157830;34783071;34388386,乳腺癌（Open Targets child/遗传证据强）、黑色素瘤/肝细胞癌为次级,机制审计：低优先级可审。CHEK2 是 DNA 损伤检查点 kinase，乳腺癌 child OT 遗传和文献证据强，适合先验证直接 kinase engagement。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 breast carcinoma（score=0.709）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,CHEK2 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=breast carcinoma(0.709), ConPLEx=0.441/rank73; literature_status=reported_post_approval_old_drug_new_target. 主要风险：同标签或同治疗方向 novelty 折扣；疾病方向接近原适应症，老药新用 novelty 较弱。"
460,strict895_0589,二级复核,跨大领域老药新用,Rolapitant Hydrochloride,CHEMBL3707331,胃肠/消化,Gastroenterology,DNMT3A,DNA (cytosine-5)-methyltransferase 3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,42.0128118,0.22170311,64,0.8577261614555013,酶/表观遗传生化,review_low,中高,否,否,否,PubMed pair审计未见明确报道,0,0,,,AML/克隆性造血（Open Targets child 强）、结直肠癌表观遗传模型,机制审计：低优先级可审。DNMT3A 与 AML/克隆性造血有强遗传、临床和文献证据，是本块最清楚的 child OT 疾病锚点之一。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 acute myeloid leukemia（score=0.858）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,DNMT3A methyltransferase 酶活、SAM 竞争/结合和 5mC/靶位点甲基化 readout；AML 细胞做长期表观遗传效应。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=acute myeloid leukemia(0.858), ConPLEx=0.222/rank64; literature_status=unreported_in_pubmed_pair_audit. 主要风险：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。"
