排序,小分子药物名称,新靶点名称,当前实验建议,需先确认的事项,评价理由,pair_id,A药内排名_384,B药内排名_384,共识Top20组合,至少一个AB药内Top20,安排复核建议_未更改实验表
154,guanfacine,ROCK2 — Rho-associated protein kinase 2,仍可探索,先核查ROCK1/2选择性活性；结合后需确定眼部研究可实现的作用方向。,guanfacine–ROCK2尚未确认直接测量，可用ROCK1/2酶活探索，新旧机制不同不是反对。,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,136,162,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
155,larotrectinib,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,FKBP配体竞争/功能验证，不靠TRK标签升级。,拉罗替尼–FKBP12是缺证据的跨机制假说，可以成熟平台小筛。,NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL1902,272,162,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
156,dolutegravir,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,JNK2与1/3并行，功能成立后细化癌种。,多替拉韦–JNK2近邻偏阴性未构成实测反对，泛癌只限制疾病解释。,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL4179,38,191,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
157,ribociclib,REN — Renin,仍可探索,纯化REN实验，不用合用临床结果作直连。,瑞博西利与RAAS药合用不能证明REN抑制，单药新机制仍可探索。,RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL286,222,14,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
158,etravirine,TYMS — Thymidylate synthase,仍可探索,TYMS辅因子与催化条件明确后检验。,依曲韦林–TYMS无直接文献及机制跨度不应成为硬反对。,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1952,216,178,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
159,etonogestrel,VDR — Vitamin D3 receptor,仍可探索,固定母药而非前体；激动拮抗方向分别判读。,依托孕烯甾体结构不保证VDR结合，仍可用竞争和报告探索。,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,205,263,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
160,quetiapine,ESRRG — Estrogen-related receptor gamma,仍可探索,先核查ERRγ竞争/转录报告，若仅原受体介导细胞效应则不升级。,quetiapine–ESRRG精神疾病场景重叠只限制跨领域新颖性，ERRγ直接机制仍可探索。,URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,315,146,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
161,naltrexone,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,如PDE9A平台已准备好，先测cGMP水解；出现重复效应再SPR复测。,naltrexone–PDE9A缺配对记录与低相似性仅表示未知，成熟酶学可检验。,DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,195,306,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
162,nicardipine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,在合格FAAH体系低成本探索并正交验证。,尼卡地平–FAAH只有文献缺口，原钙通道作用不同是新机制问题而非否定。,ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2243,133,164,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
163,panobinostat,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,纯PARP2与PARP1功能比较，不用表达下降当结合。,帕比司他PAR变化可为间接HDAC效应，但不否定额外PARP2结合。,FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,65,100,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
164,enasidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,纯GSK3B与IDH2作用分离。,恩西地平–GSK3B邻居偏阴性不代表母药阴性，血液肿瘤内拓展只限制新颖性。,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,349,232,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
165,tipiracil,TYMS — Thymidylate synthase,仍可探索,确认纯替匹嘧啶并做TYMS功能，不转移复方结果。,替匹嘧啶复方TYMS作用属于三氟胸苷活性形式，纠正归因后不是本药TYMS阴性。,QQHMKNYGKVVGCZ-UHFFFAOYSA-N__CHEMBL1952,47,179,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
166,dasabuvir,AR — Androgen receptor,仍可探索,若AR体系已有则候补；先验证结合，再确定AR/ER状态及功能方向，不能挪用NS5B活性。,dasabuvir–AR泛癌症假设不成熟，但纯受体新机制测试仍有探索资格。,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,1,100,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
167,elexacaftor,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",仍可探索,先核纯母药与PI3Kγ构建，再直接测脂质激酶活性；无额外支持不单独建体系。,elexacaftor–PIK3CG的PI3Kγ联用增强并非母药作用，但纯母药新机制酶学可探索。,MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,327,191,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
168,labetalol,ACE — Angiotensin-converting enzyme,仍可探索,核对混合异构体，ACE功能与SPR互证。,拉贝洛尔–ACE独立计算线索支持检验假说，尚无湿实验；领域重叠不阻止机制发现。,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1808,331,303,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
169,ubrogepant,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,JAK3与JAK1/2生化反筛。,乌布吉泮–JAK3无直接资料不是阴性，可保留类风湿新靶点探索。,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,113,94,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
170,amlodipine,CA12 — Carbonic anhydrase 12,仍可探索,核混合/单异构体身份及CA12胞外域，阳性后补同工酶选择性。,amlodipine–CA12缺精确资料，可探索；不得移植左旋实体或其他CA亚型数值。,HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,8,1,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
171,rucaparib,"PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",仍可探索,先核对PI3Kβ生化活性和构建，避免以DNA修复细胞表型作直接结合替代。,rucaparib–PIK3CB同卵巢癌及PARP/PI3K联用不能证结合，但新机制测试仍可探索。,HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,105,373,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
172,binimetinib,HDAC1 — Histone deacetylase 1,仍可探索,HDAC1适配复合体与酶活，肺癌重叠单列新颖性。,比美替尼–HDAC1没有直接资料；MEK选择性面板不覆盖HDAC，不能作阴性。,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL325,128,357,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
173,albuterol,CTSC — Dipeptidyl peptidase 1,仍可探索,成熟CTSC测单药，支气管扩张表型另判。,沙丁胺醇与CTSC药合用只是共现，尚未否定沙丁胺醇新CTSC作用。,NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL2252,109,14,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
174,mebendazole,HCK — Tyrosine-protein kinase HCK,仍可探索,纯HCK生化检验，宿主与寄生虫效应分开。,甲苯咪唑HCK作者缩写/衍生物命中不是母药活性，也非否定；驱虫不能外推利什曼病。,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL3234,317,256,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
175,quinidine,ACVRL1 — Activin receptor type-1-like,仍可探索,按精确药物与ACVRL1标识核panel，有独立线索再投入激酶体系。,quinidine–ACVRL1表格其他药行不能归给本药，移除错配仍可探索新关系。,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,52,110,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
176,avibactam,DPP4 — Dipeptidyl peptidase 4,仍可探索,先用单体avibactam测DPP4酶活，勿用复方或共价机制泛化替代证据。,avibactam–DPP4不同共价药分类共现非证据，单体直接酶活仍可作为探索。,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,35,3,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
177,labetalol,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,已有活性EGLN3才候补，核模型立体化学与采购物一致。,labetalol–EGLN3表达数据库共现不能证结合，尚无母药硬反证；核常规立体实体后可探索。,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,10,157,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
178,mebendazole,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,先测激酶域结合和酶活；不能只用肿瘤细胞抑制认定靶点。,mebendazole–FGFR2细胞信号可能由微管间接导致，直接酶学恰可检验新靶点假说。,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,293,168,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
179,methocarbamol,CA7 — Carbonic anhydrase 7,仍可探索,先用CA1作机制参照、CA7作新靶点测相同条件酶活，匹配pH并核对SPR动力学。,methocarbamol–CA7有CA1/2弱活性家族线索，可做选择性研究，不把其他同工酶弱效等同CA7阴性。,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,1,4,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
180,bictegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,单药JNK1/2/3实验并细化癌种。,比克替拉韦–JNK1缺直接证据，其他化合物面板不能支持也不能否定本药。,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276,1,111,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
181,glasdegib,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,已有PDGFRA域与参照才少量追加，核野生型/突变以避免错配。,glasdegib–PDGFRA排名靠后不是反证，在匹配野生型或突变构建可做少量探索。,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,79,51,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
182,asenapine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,MAOB酶活及选择性验证。,阿塞那平–MAOB仅缺证据与邻居偏阴性，原受体机制不构成反证。,VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039,301,166,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
183,binimetinib,DHFR — Dihydrofolate reductase,仍可探索,纯人DHFR酶活及吸光干扰控制。,比美替尼–DHFR仅缺直接资料，MEK原机制和其他药命中不是硬反对。,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202,141,116,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
184,esketamine,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,纯GSK3B与NMDA机制分离，可检验新直接靶点。,艾司氯胺酮GSK3B下游效应不是直接结合，MDD已知用途只限制新疾病价值。,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262,106,324,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
185,nevirapine,AKT1 — RAC-alpha serine/threonine-protein kinase,仍可探索,先核细胞条件与直接酶活，若只做SPR须匹配AKT1激活状态。,nevirapine–AKT1有特定甲状腺癌细胞未抑制Akt磷酸化记录，只反对泛化细胞机制，不足以降低纯AKT1探索资格。,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,223,274,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
186,dasabuvir,ALK — ALK tyrosine kinase receptor,仍可探索,先取得纯药直接作用线索，不能把联用限制当新靶点证据。,dasabuvir–ALK联用相互作用不能算ALK结合；暂无母药反证，属于可探索缺口。,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,125,46,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
187,doravirine,NR3C1 — Glucocorticoid receptor,仍可探索,已有GR-LBD体系才候补，先证结合及功能，勿将激素联用信息当新靶点。,doravirine–NR3C1药代相互作用不是GR结合，但当前没有直接反证，可测试受体作用。,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,31,142,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
188,relugolix,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,已有匹配FLT1构建才追加，结合与酶/受体功能需一致。,relugolix–FLT1表达变化不是亲和，暂无直接反证，可在匹配域开展探索。,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,332,35,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
189,roflumilast,ACHE — Acetylcholinesterase,仍可探索,按母药而非N-oxide配制；用ACHE活性与SPR互证。,罗氟司特原PDE4机制不同及未找到ACHE文献，都不足以否定新结合。,MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,275,106,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
190,glasdegib,FAAH — Fatty-acid amide hydrolase 1,仍可探索,FAAH功能及非特异反筛，不归因一般抗炎表型。,格拉斯吉布–FAAH阴性近邻更近仍非本配对阴性，原SMO机制不同可作为探索起点。,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2243,220,171,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
191,lubiprostone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,确认母体及可用浓度，FKBP竞争验证。,鲁比前列酮–FKBP12证据弱但暂无硬反对，远疾病链不影响纯结合侦察。,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1902,65,80,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
192,vaborbactam,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,使用单成分并测FKBP12，勿迁移细菌蛋白结果。,伐硼巴坦PBP3结构不是FKBP12证据，纠正后仍可探索新二元结合。,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1902,171,69,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
193,ubrogepant,METAP2 — Methionine aminopeptidase 2,仍可探索,METAP2金属条件和METAP1反筛，疾病推断另评。,乌布吉泮–METAP2未检得直接资料，原CGRP机制不同不足以排除。,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,210,233,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
194,mirabegron,MME — Neprilysin,仍可探索,用纯MME活性检验新机制，控制可用浓度。,米拉贝隆心血管表型可由β3解释，但不否定额外MME作用。,PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1944,145,38,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
195,silodosin,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,CSF1R功能后确认肺动脉高压作用方向。,西洛多辛–CSF1R未有直连，原受体面板不构成激酶阴性。,PNCPYILNMDWPEY-QGZVFWFLSA-N__CHEMBL1844,32,4,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
196,loxapine,NTRK3 — NT-3 growth factor receptor,仍可探索,核对精确loxapine结构并做TRKC酶活，避免将LOXO-195/larotrectinib资料误归本药。,loxapine–NTRK3的LOXO其他药名命中必须剔除，剩余证据缺口并不否决本药探索。,XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,153,64,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
197,brivaracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,先与levetiracetam同批PDE9酶活比较，再选可重复且有选择性的一个做SPR梯度。,brivaracetam–PDE9A近邻弱和同骨架重复影响排序，可与levetiracetam共测酶活探索。,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,75,132,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
198,levetiracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,与brivaracetam共用PDE9酶学预筛，阳性后排除检测干扰再做结合验证。,levetiracetam–PDE9A没有直接证据并非不可测，与brivaracetam共用预筛可减少资源消耗。,HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,31,45,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
199,enasidenib,LCK — Tyrosine-protein kinase Lck,仍可探索,纯LCK与IDH2功能分开检验。,恩西地平–LCK没有实测反对；较近阴性化合物和IDH2机制不同只能降低先验支持。,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,165,214,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
200,duvelisib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,纯PARP2/PARP1催化实验，不把细胞DNA损伤直接归因。,度维利塞PARP并列资料不是直连，但可检验额外PARP2作用。,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL5366,66,52,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
201,desoximetasone,RARB — Retinoic acid receptor beta,仍可探索,母药RARB与GR报告分开；银屑病重叠单列。,去羟米松RARB检索实际来自他扎罗汀活性酸，纠正后无本药RARB硬反证。,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL2008,241,154,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
202,gepirone,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,纯GSK3B功能与5HT1A分离，双相获益另证。,吉哌隆–GSK3B无直接证据，受体下游效应不支持也不排除结合。,QOIGKGMMAGJZNZ-UHFFFAOYSA-N__CHEMBL262,28,357,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
203,tapinarof,ESR1 — Estrogen receptor,仍可探索,先验证ER-LBD结合及竞争，再区分激动拮抗；同时控制AHR解释。,tapinarof–ESR1需以直接受体测试区分AHR间接调节；缺已知ER亲和正是可探索问题。,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,172,126,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
204,givinostat,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,确认FLT1使用域并用匹配参照；结合阳性再做激酶/受体功能。,givinostat–FLT1的HDAC表达效应不是直接结合证据，但没有具体反向活性阻止探索。,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,319,95,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
205,ozanimod,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,先测纯母药JAK2作用，不能将S1P免疫细胞效应当激酶抑制。,ozanimod–JAK2的S1P/JAK并列资料不算支持；可作为未知直接作用检验。,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,170,235,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
206,ranolazine,CA7 — Carbonic anhydrase 7,仍可探索,核实CA1/2论文浓度单位和方法，再同条件检测CA7；若仅高浓度普遍抑制则后置。,ranolazine–CA7的CA1/2活性线索不能转移效力，但支持设计同条件CA7探索。,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,29,145,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
207,rilpivirine,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,用JNK1/2并行酶学先作区分，有重复浓度依赖后选择最可解释者。,rilpivirine–MAPK8证据缺口与同药候选冗余可通过小面板解决，不应作不可测判断。,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,67,234,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
208,dasabuvir,NR3C1 — Glucocorticoid receptor,仍可探索,先在GR配体域和功能报告平台取得配对证据，明确癌种后再考虑疾病验证。,dasabuvir–NR3C1可做未知GR机制探索，泛癌症和方向未定主要限制疾病投资解读。,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,10,124,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
209,indapamide,ACE — Angiotensin-converting enzyme,仍可探索,单成分ACE活性及参考物对照。,吲达帕胺–ACE检索主要是培哚普利复方，纠正归因后无本药直接阴性。,NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1808,157,70,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
210,vibegron,ROCK2 — Rho-associated protein kinase 2,仍可探索,成熟ROCK2平台可探索，激酶功能复核。,维贝格龙–ROCK2支持薄弱，阴性邻居较近仍不是本配对实测反证。,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,181,8,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
211,nalmefene,VDR — Vitamin D3 receptor,仍可探索,竞争及共调节/报告读出明确作用方向。,纳美芬–VDR无直连证据；心衰方向待定不阻止受体结合侦察。,WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1977,269,204,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
212,selinexor,ABL1 — Tyrosine-protein kinase ABL1,仍可探索,先取得单药ABL1生化证据并区分ABL1与融合构建，不能把联用增效当直接结合。,selinexor–ABL1联用XPO1/BCR-ABL1研究不是单药直接作用，仍可检验新ABL1结合。,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,85,53,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
213,rosuvastatin,NR3C2 — Mineralocorticoid receptor,仍可探索,MR竞争/报告明确方向，药物实际可用浓度达标。,瑞舒伐他汀–MR有疾病背景但无直连，原降脂获益既非支持也非反对。,BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,10,219,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
214,tasimelteon,NR3C1 — Glucocorticoid receptor,仍可探索,GR竞争及报告方向，睡眠表型不作直接依据。,他司美琼药物基因组同页GR不是绑定证据，仍可探索新受体机制。,PTOIAAWZLUQTIO-GXFFZTMASA-N__CHEMBL2034,47,176,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
215,sapropterin,CHEK2 — Serine/threonine-protein kinase Chk2,仍可探索,确认样品状态与CHEK2活性构建，已有独立作用线索再投入。,sapropterin–CHEK2原辅因子机制不同与近邻弱只表示缺支持，不能拒绝新机制探索。,FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,181,179,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
216,lubiprostone,NR3C2 — Mineralocorticoid receptor,仍可探索,若做需MR-LBD直接竞争和功能区分，另审局部母药到系统用途的暴露。,lubiprostone–NR3C2的GR肠道资料不可迁移到MR；可做母药受体探索，系统疾病用途另论。,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,3,286,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
217,varenicline,NTRK3 — NT-3 growth factor receptor,仍可探索,先取得直接药理线索，已有TrkC体系才低成本探索。,varenicline–NTRK3排名末端和无测量仅增加不确定，成熟体系仍可小规模探索。,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,317,209,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
218,belzutifan,AR — Androgen receptor,仍可探索,已有AR体系才候补，先证受体结合与功能方向，不用HIF2α文章挪补。,belzutifan–AR的ARNT或不同药列表不算AR证据；去除错支持后仍能探索。,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,3,48,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
219,bictegravir,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,PARP2催化/竞争阳性后再聚焦癌种。,比克替拉韦–PARP2属缺证据的泛癌机制探索，整合酶原机制不是排除理由。,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL5366,199,201,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
220,ketoprofen,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,先取得纯受体结合和转录方向，不能以镇痛效果作为新机制证明。,ketoprofen–PPARG动物镇痛辅助用药不是受体激动证据，纯受体探索本身仍有资格。,DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,180,186,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
221,vemurafenib,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,核对PI3Kα构建/调节亚基和阳性参考，测溶解度；SPR信号成立后用脂质激酶活性验证。,vemurafenib–PIK3CA已有计算线索仍需实测；同属肿瘤降低跨领域新颖性，不排除新机制价值。,GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,379,174,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
222,metformin,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,先检验FLT3酶学并区分野生型/ITD构建，只有直接作用才复测SPR。,metformin–FLT3与gilteritinib协同及PLK1变化不能证FLT3结合；不能把另一靶点JAK2弱活性搬作FLT3反证。,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,330,121,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
223,alpelisib,MMP12 — Macrophage metalloelastase,仍可探索,若MMP12体系已经成熟可先酶学，否则不为此配对单独开发蛋白体系。,alpelisib–MMP12遗传疾病支持不能填补结合缺口，但排名末端与家族差异不构成不能探索。,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,66,275,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
224,pomalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,核最近邻具体结构/端点；纯母药酶活证成后再SPR，若支持全来自衍生物则后置。,pomalidomide–HDAC2先解开CRBN端与HDAC药效团、近邻端点归属；母药仍可探索，不能由衍生物判阴性。,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,121,20,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
225,dabrafenib,HDAC1 — Histone deacetylase 1,先解决具体问题,核本地最近邻是否即改造物；无纯母药酶活支持前不当高置信首批。,dabrafenib–HDAC1先核高相似近邻是否HDAC改造物与母药实际溶解度；衍生物证据失效不等于母药不能结合。,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,357,379,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
226,telmisartan,MME — Neprilysin,先解决具体问题,先测工作液与参考表面背景，再用MME酶活和SPR交叉验证。,telmisartan–MME计算logP较高，须先确认工作液浓度及背景响应；联用thiorphan非直接支持。,RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,318,101,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
227,esmolol,CA4 — Carbonic anhydrase 4,先解决具体问题,确认样品稳定性及含锌CA4胞外域，酶活与SPR一致再考虑机制意义。,esmolol–CA4先确认实验期间母药稳定性，Tourette疾病链不能替代酶测。,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL3729,28,7,仅B在Top20,True,分清操作前提与证据不足；逐项确认后安排
228,levamlodipine,CA7 — Carbonic anhydrase 7,先解决具体问题,核单一左旋实体，含锌CA7对照和酶活通过后复测结合。,levamlodipine–CA7需明确左旋实体，不能挪用消旋amlodipine或其他CA亚型结果。,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL2326,9,7,A和B均在Top20,True,分清操作前提与证据不足；逐项确认后安排
229,nevirapine,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,确认含血红素构建，分别做结合和类固醇代谢抑制验证。,nevirapine–CYP17A1先确认血红素构建及代谢/抑制读出，避免仅有底物结合却宣称抑制。,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL3522,307,273,A和B均未进Top20,False,分清操作前提与证据不足；逐项确认后安排
