排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
198,P2 第11–20排名且仍可探索,C384-187,levetiracetam,Synaptic vesicle glycoprotein 2A; Voltage-dependent N-type calcium channel subunit alpha-1B,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,与brivaracetam共用PDE9酶学预筛，阳性后排除检测干扰再做结合验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HPHUVLMMVZITSG-LURJTMIESA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
199,P2 第11–20排名且仍可探索,C384-357,enasidenib,"Isocitrate dehydrogenase [NADP], mitochondrial",LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS,CTRL-054,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯LCK与IDH2功能分开检验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL258,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
200,P2 第11–20排名且仍可探索,C384-358,duvelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PARP2 — Poly [ADP-ribose] polymerase 2,TALAZOPARIB,CTRL-110,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯PARP2/PARP1催化实验，不把细胞DNA损伤直接归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SJVQHLPISAIATJ-ZDUSSCGKSA-N,CHEMBL5366,CHEMBL3137320,HWGQMRYQVZSGDQ-HZPDHXFCSA-N
201,P2 第11–20排名且仍可探索,C384-359,desoximetasone,Glucocorticoid receptor,RARB — Retinoic acid receptor beta,TRETINOIN,CTRL-027,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,母药RARB与GR报告分开；银屑病重叠单列。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VWVSBHGCDBMOOT-IIEHVVJPSA-N,CHEMBL2008,CHEMBL38,SHGAZHPCJJPHSC-YCNIQYBTSA-N
202,P2 第11–20排名且仍可探索,C384-379,gepirone,5-hydroxytryptamine receptor 1A,GSK3B — Glycogen synthase kinase-3 beta,STAUROSPORINE,CTRL-056,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯GSK3B功能与5HT1A分离，双相获益另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QOIGKGMMAGJZNZ-UHFFFAOYSA-N,CHEMBL262,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
203,P2 第11–20排名且仍可探索,C384-023,tapinarof,Aryl hydrocarbon receptor,ESR1 — Estrogen receptor,研究化合物 CHEMBL377849（无通用名称）,CTRL-034,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,先验证ER-LBD结合及竞争，再区分激动拮抗；同时控制AHR解释。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZISJNXNHJRQYJO-CMDGGOBGSA-N,CHEMBL206,CHEMBL377849,ANMCTAWGJSYPPA-LPYMAVHISA-N
204,P2 第11–20排名且仍可探索,C384-024,givinostat,Histone deacetylase,FLT1 — Vascular endothelial growth factor receptor 1,STAUROSPORINE,CTRL-008,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认FLT1使用域并用匹配参照；结合阳性再做激酶/受体功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YALNUENQHAQXEA-UHFFFAOYSA-N,CHEMBL1868,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
205,P2 第11–20排名且仍可探索,C384-025,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,JAK2 — Tyrosine-protein kinase JAK2,RUXOLITINIB,CTRL-069,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先测纯母药JAK2作用，不能将S1P免疫细胞效应当激酶抑制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XRVDGNKRPOAQTN-FQEVSTJZSA-N,CHEMBL2971,CHEMBL1789941,HFNKQEVNSGCOJV-OAHLLOKOSA-N
206,P2 第11–20排名且仍可探索,C384-151,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,核实CA1/2论文浓度单位和方法，再同条件检测CA7；若仅高浓度普遍抑制则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
207,P2 第11–20排名且仍可探索,C384-152,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,MAPK8 — Mitogen-activated protein kinase 8,STAUROSPORINE,CTRL-047,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,用JNK1/2并行酶学先作区分，有重复浓度依赖后选择最可解释者。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YIBOMRUWOWDFLG-ONEGZZNKSA-N,CHEMBL2276,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
208,P2 第11–20排名且仍可探索,C384-153,dasabuvir,RNA-directed RNA polymerase,NR3C1 — Glucocorticoid receptor,PREDNISONE,CTRL-030,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,先在GR配体域和功能报告平台取得配对证据，明确癌种后再考虑疾病验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NBRBXGKOEOGLOI-UHFFFAOYSA-N,CHEMBL2034,CHEMBL635,XOFYZVNMUHMLCC-ZPOLXVRWSA-N
209,P2 第11–20排名且仍可探索,C384-257,indapamide,Solute carrier family 12 member 3,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,CTRL-002,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,单成分ACE活性及参考物对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NDDAHWYSQHTHNT-UHFFFAOYSA-N,CHEMBL1808,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N
210,P2 第11–20排名且仍可探索,C384-258,vibegron,Beta-3 adrenergic receptor,ROCK2 — Rho-associated protein kinase 2,Y-39983,CTRL-070,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,成熟ROCK2平台可探索，激酶功能复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DJXRIQMCROIRCZ-XOEOCAAJSA-N,CHEMBL2973,CHEMBL571948,JTVBXQAYBIJXRP-SNVBAGLBSA-N
211,P2 第11–20排名且仍可探索,C384-259,nalmefene,Delta-type opioid receptor; Kappa-type opioid receptor; Mu-type opioid receptor,VDR — Vitamin D3 receptor,研究化合物 CHEMBL4066573（无通用名称）,CTRL-021,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,竞争及共调节/报告读出明确作用方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WJBLNOPPDWQMCH-MBPVOVBZSA-N,CHEMBL1977,CHEMBL4066573,UBDHJEXXHMTARH-DRVSFAKCSA-N
212,P2 第11–20排名且仍可探索,C384-188,selinexor,Exportin-1,ABL1 — Tyrosine-protein kinase ABL1,PONATINIB,CTRL-007,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先取得单药ABL1生化证据并区分ABL1与融合构建，不能把联用增效当直接结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DEVSOMFAQLZNKR-RJRFIUFISA-N,CHEMBL1862,CHEMBL1171837,PHXJVRSECIGDHY-UHFFFAOYSA-N
213,P2 第11–20排名且仍可探索,C384-221,rosuvastatin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,MR竞争/报告明确方向，药物实际可用浓度达标。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BPRHUIZQVSMCRT-VEUZHWNKSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
214,P2 第11–20排名且仍可探索,C384-361,tasimelteon,Melatonin receptor,NR3C1 — Glucocorticoid receptor,PREDNISONE,CTRL-030,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,GR竞争及报告方向，睡眠表型不作直接依据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PTOIAAWZLUQTIO-GXFFZTMASA-N,CHEMBL2034,CHEMBL635,XOFYZVNMUHMLCC-ZPOLXVRWSA-N
215,P2 第11–20排名且仍可探索,C384-067,sapropterin,Phenylalanine-4-hydroxylase,CHEK2 — Serine/threonine-protein kinase Chk2,研究化合物 CHEMBL4465866（无通用名称）,CTRL-053,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,确认样品状态与CHEK2活性构建，已有独立作用线索再投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FNKQXYHWGSIFBK-RPDRRWSUSA-N,CHEMBL2527,CHEMBL4465866,NXSJMRCTGYTSTK-SQHKIPTKSA-N
216,P2 第11–20排名且仍可探索,C384-070,lubiprostone,Chloride channel protein 2,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,若做需MR-LBD直接竞争和功能区分，另审局部母药到系统用途的暴露。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WGFOBBZOWHGYQH-MXHNKVEKSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
217,P2 第11–20排名且仍可探索,C384-071,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,NTRK3 — NT-3 growth factor receptor,STAUROSPORINE,CTRL-111,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,先取得直接药理线索，已有TrkC体系才低成本探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL5608,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
218,P2 第11–20排名且仍可探索,C384-086,belzutifan,Endothelial PAS domain-containing protein 1,AR — Androgen receptor,TESTOSTERONE,CTRL-009,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,已有AR体系才候补，先证受体结合与功能方向，不用HIF2α文章挪补。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LOMMPXLFBTZENJ-ZACQAIPSSA-N,CHEMBL1871,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
219,P2 第11–20排名且仍可探索,C384-263,bictegravir,Human immunodeficiency virus type 1 integrase,PARP2 — Poly [ADP-ribose] polymerase 2,TALAZOPARIB,CTRL-110,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,PARP2催化/竞争阳性后再聚焦癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SOLUWJRYJLAZCX-LYOVBCGYSA-N,CHEMBL5366,CHEMBL3137320,HWGQMRYQVZSGDQ-HZPDHXFCSA-N
220,P2 第11–20排名且仍可探索,C384-115,ketoprofen,Cyclooxygenase,PPARG — Peroxisome proliferator-activated receptor gamma,REVERSE TRIIODOTHYRONINE,CTRL-050,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,先取得纯受体结合和转录方向，不能以镇痛效果作为新机制证明。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DKYWVDODHFEZIM-UHFFFAOYSA-N,CHEMBL235,CHEMBL1743304,HZCBWYNLGPIQRK-LBPRGKRZSA-N
221,P2 第11–20排名且仍可探索,C384-130,vemurafenib,Serine/threonine-protein kinase B-raf,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",WORTMANNIN,CTRL-089,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,核对PI3Kα构建/调节亚基和阳性参考，测溶解度；SPR信号成立后用脂质激酶活性验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GPXBXXGIAQBQNI-UHFFFAOYSA-N,CHEMBL4005,CHEMBL428496,QDLHCMPXEPAAMD-QAIWCSMKSA-N
222,P2 第11–20排名且仍可探索,C384-190,metformin,"Glycerol-3-phosphate dehydrogenase, mitochondrial; Mitochondrial complex I (NADH dehydrogenase)",FLT3 — Receptor-type tyrosine-protein kinase FLT3,STAUROSPORINE,CTRL-020,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,先检验FLT3酶学并区分野生型/ITD构建，只有直接作用才复测SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CHEMBL1974,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
223,P2 第11–20排名且仍可探索,C384-191,alpelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,CTRL-097,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,若MMP12体系已经成熟可先酶学，否则不为此配对单独开发蛋白体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,STUWGJZDJHPWGZ-LBPRGKRZSA-N,CHEMBL4393,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N
224,P3 先解决具体问题,C384-092,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,研究化合物 CHEMBL235842（无通用名称）,CTRL-015,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,核最近邻具体结构/端点；纯母药酶活证成后再SPR，若支持全来自衍生物则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UVSMNLNDYGZFPF-UHFFFAOYSA-N,CHEMBL1937,CHEMBL235842,ABZSPJVXTTUFAA-UHFFFAOYSA-N
225,P3 先解决具体问题,C384-116,dabrafenib,Serine/threonine-protein kinase B-raf,HDAC1 — Histone deacetylase 1,TRICHOSTATIN,CTRL-076,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核本地最近邻是否即改造物；无纯母药酶活支持前不当高置信首批。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BFSMGDJOXZAERB-UHFFFAOYSA-N,CHEMBL325,CHEMBL99,RTKIYFITIVXBLE-QEQCGCAPSA-N
226,P3 先解决具体问题,C384-117,telmisartan,Type-1 angiotensin II receptor,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,先测工作液与参考表面背景，再用MME酶活和SPR交叉验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RMMXLENWKUUMAY-UHFFFAOYSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
227,P3 先解决具体问题,C384-088,esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,确认样品稳定性及含锌CA4胞外域，酶活与SPR一致再考虑机制意义。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AQNDDEOPVVGCPG-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
228,P3 先解决具体问题,C384-090,levamlodipine,Voltage-gated L-type calcium channel,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核单一左旋实体，含锌CA7对照和酶活通过后复测结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HTIQEAQVCYTUBX-KRWDZBQOSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
229,P3 先解决具体问题,C384-091,nevirapine,Human immunodeficiency virus type 1 reverse transcriptase,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",BIFONAZOLE,CTRL-080,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,确认含血红素构建，分别做结合和类固醇代谢抑制验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NQDJXKOVJZTUJA-UHFFFAOYSA-N,CHEMBL3522,CHEMBL277535,OCAPBUJLXMYKEJ-UHFFFAOYSA-N
230,P3 先解决具体问题,C384-284,pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,CTRL-059,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,11B1/11B2产物及构建分清；不可由11B2结合推降皮质醇。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QCHFTSOMWOSFHM-WPRPVWTQSA-N,CHEMBL2722,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N
231,P3 先解决具体问题,C384-079,idelalisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,查本地最近邻是否加锌结合基团，确认后测纯母药HDAC11功能及结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IFSDAJWBUCMOAH-HNNXBMFYSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
232,P3 先解决具体问题,C384-097,betrixaban,Coagulation factor X,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）,CTRL-088,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,先解决具体问题,核活性F7a及参考体系，优先纯酶活；若确有作用，按脱靶机制而非自动新适应症推进。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XHOLNRLADUSQLD-UHFFFAOYSA-N,CHEMBL3991,CHEMBL3127491,PDUMJXCNOKHQKH-SVXHESJVSA-N
233,P3 先解决具体问题,C384-002,tedizolid,Bacterial 70S ribosome,NTRK2 — BDNF/NT-3 growth factors receptor,STAUROSPORINE,CTRL-105,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,优先查论文补充panel靶点及构建；若包含匹配TrkB且高浓度阴性则后置，否则以成熟激酶域对照后侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XFALPSLJIHVRKE-GFCCVEGCSA-N,CHEMBL4898,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
234,P3 先解决具体问题,C384-095,clascoterone,Androgen receptor,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",BIFONAZOLE,CTRL-080,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,确认酯母体未以代谢物替代，测含血红素酶的结合与代谢/抑制功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GPNHMOZDMYNCPO-PDUMRIMRSA-N,CHEMBL3522,CHEMBL277535,OCAPBUJLXMYKEJ-UHFFFAOYSA-N
235,P3 先解决具体问题,C384-096,levamlodipine,Voltage-gated L-type calcium channel,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,CTRL-028,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先核左旋实体与人DHFR辅因子体系，酶活阳性再SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HTIQEAQVCYTUBX-KRWDZBQOSA-N,CHEMBL202,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N
236,P3 先解决具体问题,C384-099,acetaminophen,Cyclooxygenase; Fatty-acid amide hydrolase 1; Transient receptor potential cation channel subfamily V member 1,MIF — Macrophage migration inhibitory factor,BTZO-1,CTRL-038,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先查母药自身直接对照结果；若只支持代谢物，不以母药占首批资源。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RZVAJINKPMORJF-UHFFFAOYSA-N,CHEMBL2085,CHEMBL4516611,GBAKVEWPYUIGHN-UHFFFAOYSA-N
237,P3 先解决具体问题,C384-195,gemcitabine,DNA polymerase (alpha/delta/epsilon); Ribonucleoside-diphosphate reductase RR1,DNMT1 — DNA (cytosine-5)-methyltransferase 1,研究化合物 CHEMBL5592841（无通用名称）,CTRL-024,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,查原酶种、DNA及代谢体条件；明确机制确认还是新结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SDUQYLNIPVEERB-QPPQHZFASA-N,CHEMBL1993,CHEMBL5592841,YEBBNJGBFNBLTF-UHFFFAOYSA-N
238,P3 先解决具体问题,C384-286,pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE,CTRL-011,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,11B1/11B2功能体系测通再测候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QCHFTSOMWOSFHM-WPRPVWTQSA-N,CHEMBL1908,CHEMBL157101,XMAYWYJOQHXEEK-UHFFFAOYSA-N
239,P3 先解决具体问题,C384-101,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,研究化合物 CHEMBL235842（无通用名称）,CTRL-015,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,核近邻是哪一端识别HDAC2，纯母药酶活可靠后再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL1937,CHEMBL235842,ABZSPJVXTTUFAA-UHFFFAOYSA-N
240,P3 先解决具体问题,C384-100,etonogestrel,Progesterone receptor,ESR2 — Estrogen receptor beta,研究化合物 CHEMBL475278（无通用名称）,CTRL-052,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,若要测需明确ESR2与参照，区分PR作用和ER功能方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GCKFUYQCUCGESZ-BPIQYHPVSA-N,CHEMBL242,CHEMBL475278,ZDSSMGFPICRDHW-VIZOYTHASA-N
241,P3 先解决具体问题,C384-159,bictegravir,Human immunodeficiency virus type 1 integrase,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126,CTRL-042,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先确认EZH2/PRC2构建和参考抑制剂活性，SPR后用甲基转移活性确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SOLUWJRYJLAZCX-LYOVBCGYSA-N,CHEMBL2189110,CHEMBL3287735,FKSFKBQGSFSOSM-QFIPXVFZSA-N
242,P3 先解决具体问题,C384-160,baricitinib,Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2,HDAC1 — Histone deacetylase 1,TRICHOSTATIN,CTRL-076,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核查关键HDAC药效团，采用活性复合物酶学；只有母药出现独立效应才做SPR梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XUZMWHLSFXCVMG-UHFFFAOYSA-N,CHEMBL325,CHEMBL99,RTKIYFITIVXBLE-QEQCGCAPSA-N
243,P3 先解决具体问题,C384-161,articaine,Sodium channel alpha subunit,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,确认纯articaine身份及稳定性，先用MME酶活筛查；无直接效应则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QTGIAADRBBLJGA-UHFFFAOYSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
244,P3 先解决具体问题,C384-266,oxycodone,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,CTRL-033,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,查邻居身份、浓度和端点；可在成熟CA2体系小筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BRUQQQPBMZOVGD-XFKAJCMBSA-N,CHEMBL205,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N
245,P3 先解决具体问题,C384-154,bempedoic acid,ATP-citrate synthase,MMP3 — Stromelysin-1,ILOMASTAT,CTRL-063,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,核对实际受测为母体；检查溶解度、金属依赖及MMP3活性，出现特异效应再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HYHMLYSLQUKXKP-UHFFFAOYSA-N,CHEMBL283,CHEMBL19611,NITYDPDXAAFEIT-DYVFJYSZSA-N
246,P3 先解决具体问题,C384-223,olmesartan,Type-1 angiotensin II receptor,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,按活性体核对采购/配液；前药独立编号。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VTRAEEWXHOVJFV-UHFFFAOYSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
247,P3 先解决具体问题,C384-081,duvelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,先核近邻结构有无新增HDAC药效团，再测纯母药酶活及结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SJVQHLPISAIATJ-ZDUSSCGKSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
248,P3 先解决具体问题,C384-118,nilotinib,Bcr/Abl fusion protein; Tyrosine-protein kinase ABL1,GART — Trifunctional purine biosynthetic protein adenosine-3,研究化合物 CHEMBL5653589（无通用名称）,CTRL-086,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先确认预测对应GART哪一催化域及可溶浓度，酶活有支持再测结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HHZIURLSWUIHRB-UHFFFAOYSA-N,CHEMBL3972,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N
